Code,NewCode,AreaName,London,GLAPopEst_2016,GLAHHEstimate_2016,InlandAreaHectares,DensityperHectar_2016,AverageAge_2016,ProportionAge0-15_2016,ProportionWorkingAge_2016,ProportionOver65_2016,InternalMigration_2014,InternationalMigration_2014,NaturalChange_2014,PercBornAbroad_2014,LargestMigrantPopulationbyBirth_2011,PercLargestPopulation_2011,SecondLargestMigrantPopulationbyBirth_2011,PercSecondLargestPopulation_2011,ThirdLargestMigrantPopulationbyBirth_2011,PercThirdLargestPopulation_2011,PercBAMEGroups_2011,PercMainLangNotEnglish_2011,OverseasNationalEnteringUK_2014-15,NewMigrant_2014-15,LargestMigrantPop_2014-15,SecondLargestMigrantPop_2014-15,ThirdLargestMigrantPop_2014-15,EmploymentRatePerc_2015,MaleEmploymentRate_2015,FemaleEmploymentRate_2015,UnemploymentRate_2015,YouthUnemploymentRate_2015,Perc16-18NEET_2014,PercClaimOutofWorkBenefits_201508,PercDisability_2015,PercWorkingAgeNoQualifications_2015,PercWorkingAgeDegree_2015,GrossAnnualPay_2015,GrossAnnualPayMale_2015,GrossAnnualPayFemale_2015,ModelledHouseholdMedianIncome_2012-13,PercAdultsVolunteered,NumberofJobsbyWorkplace_2014,PercPublicSectorEmployment_2014,JobsDensity_2014,NumberActiveBusinesses_2014,BusinessTwoYearSurvivalRate,CrimeRateperThousand_2014-15,FiresperThousand_2014,AmbulanceperThousandPop_2014,MedianHousePrice_2014,AvgBandDTax_2014,NewHomes_2014,PercHomesOwnedOutright_2014,PercHomesBoughtwMortgage_2014,PercHomesPublicRented_2014,PercHomesPrivateRented_2014,PercGreenspace_2005,TotalCarbon_2013,RecyclingRate_2014,NumberCars_2011,NumberCarsperHousehold_2011,PercAdultsCycleOnceperWeek_2014,PublicTransportAccessibilityScore_2014,RatesofChildrenLookedAfter_2015,PercPupilsEnglishSecondLanguage_2015,PercChildrenOutofWorkHousehold_2014,MaleLifeExpectancy_2014,FemalealeLifeExpectancy_2014,TeenageConceptionRate_2014,LifeSatisfactionScore_2014,WorthwhilenessScore_2014,HappinessScore_2014,AnxietyScore_2014,PercChildhoodObesityPrevalance_2015,PercDiabetes_2014,PreventableMortalityRate_2014,PoliticalControlCouncil,PercConservative_2014,PercLabour_2014,PercLibDem_2014,TurnoutElection_2014
E09000018,E09000018,Hounslow,Outer London,272102,104474,5597.8,48.9,35.7,21,88.7,11.3,-3678,3607,2990,47.8,India,10.7,Poland,4.1,Pakistan,2.8,51.6,28.7,11132,62,Romania,Poland,India,74.2,84.7,63.2,4.3,4.9,3.2,7.5,17.6,6.5,45.5,,,,44490,27,165700,11.7,0.92,13035,74,79.2,2.1,12.1,319950,1375,400,25.5,27,19.2,28.3,39.6,1420.7,34.5,94042,1,15.3,3,48,58.8,15.2,80,83.9,25,7.31,7.62,7.4,3.39,22.8,6.5,165.8,Lab,18.3,81.7,0,36.8
E09000019,E09000019,Islington,Inner London,228397,103612,1485.7,153,34.7,16,91.1,8.9,-1067,4620,1826,36.8,Ireland,2.8,Turkey,1.8,United States,1.5,32,19.9,9435,57,Italy,France,Spain,72.6,78.2,67,4.5,6.5,5.2,11.6,14.6,6.2,62.7,35476,39361,31994,54950,31,231500,14.5,1.39,18710,69,121.2,2.6,13.9,530000,1276,500,15.4,23.5,35.3,25.5,12.4,1052.1,32.8,38629,0.4,21,5.7,90,45.2,26.4,79,83.5,20.2,7.17,7.42,7.06,3.7,22.8,5,202.8,Lab,0,97.9,0,38.4
E09000020,E09000020,Kensington and Chelsea,Inner London,158447,79735,1212.4,129.2,39.1,15.9,85.6,14.4,-1580,1059,1088,54.7,United States,5,France,4.2,Italy,2.7,30,28,7676,70,Italy,France,Spain,68.2,76.3,60.4,4.2,4.5,3.6,7.8,14.3,5.2,65.2,,,,116350,31,143500,14.7,1.32,13635,69,120.9,2,12.7,1195000,1078,980,22.6,15.1,29.1,33.1,15.1,1236,25.3,44536,0.6,16.2,5.8,38,51.7,12,83.3,86.4,14.2,7.61,7.8,7.56,3.1,21.5,4.2,136.3,Cons,74,24,2,29.8
E09000021,E09000021,Kingston upon Thames,Outer London,173853,69132,3726.1,46.3,37,19,87,13,-188,2136,1178,29.2,Sri Lanka,2.2,India,1.8,Korea (South),1.4,30.4,16.4,3157,28,Bulgaria,Poland,Romania,74.4,80.9,67.8,4.5,2.8,3.9,5.1,15.3,5.9,53.7,36767,40000,32928,56920,43,83700,17.1,0.73,8520,79,58.5,1.8,11.1,385000,1675,530,27.7,38.9,10.7,22.4,36.4,752.4,45.7,70421,1.1,21.1,2.9,32,32.6,8.9,82,84.6,15.3,7.34,7.68,7.41,3.29,15.8,4.9,140.6,Cons,58.3,4.2,37.5,43.1
E09000022,E09000022,Lambeth,Inner London,325455,142382,2681,121.4,34.4,17.5,92.2,7.8,-1908,2645,3230,33.6,Jamaica,3.2,Portugal,2.3,Poland,2.3,41.5,20.3,12764,54,Spain,Italy,Portugal,78.5,82.3,74.6,5.9,5.2,2.2,9.8,16.1,6.2,65,33341,,30732,48610,32,184000,23.1,0.78,20900,68,104.6,2.5,13.3,420000,1239,1410,10.9,24.9,29.8,34.4,17.3,1257.3,28.3,66791,0.5,20.2,5,78,47.1,21.5,78.9,83.3,33.8,7.14,7.46,7.2,3.53,27.1,5,205,Lab,4.8,93.7,0,34.5
E09000023,E09000023,Lewisham,Inner London,299817,128966,3514.9,84.7,34.9,20.6,90.7,9.3,-787,3234,3292,30.9,Jamaica,3.5,Nigeria,3.5,Poland,1.6,47.4,16.5,8482,42,Romania,Italy,Spain,75.9,79.6,72.4,5.7,7.5,3.5,10.8,16.5,5.8,53.3,31783,32738,30048,43360,28,90000,24.8,0.44,9625,75,77,2.2,12,315000,1355,1470,16.5,31.7,28.1,23.6,22.5,930.3,17.1,76507,0.7,13.1,4.1,73,30.7,20.8,79,83.4,31.3,7.18,7.63,7.26,3.43,24.2,6.1,190.8,Lab,0,98.1,0,37.2
E09000024,E09000024,Merton,Outer London,207141,83446,3762.5,55.7,36.6,20.5,87.9,12.1,-2365,540,2115,41.1,Poland,3.5,Sri Lanka,3.2,South Africa,2.8,36.7,21.1,6730,49,Poland,Romania,Bulgaria,78.8,86.3,71.4,4.6,4.7,4.3,6.3,13.5,4.7,58,33122,36763,30307,57160,22,96800,12.2,0.7,11225,72,59.7,1.8,10.4,385000,1401,430,21.7,32.7,16.2,29.3,34.6,844.6,37.5,72777,0.9,19.4,3.4,34,41.9,11.8,80.4,84.2,19.7,7.28,7.54,7.13,3.56,21.6,5.6,161.8,Lab,33.3,60,1.7,41.3
E09000025,E09000025,Newham,Inner London,337378,116187,3619.8,93.5,31.9,21.9,93.1,6.9,-8534,9518,5092,51.8,India,8.7,Bangladesh,6.8,Pakistan,5.3,73.1,41.4,26478,116,Romania,Bulgaria,India,66.2,75,56.1,9.1,7,4.3,9.2,12.7,11,43.4,27174,28160,25055,34260,8,111100,23.1,0.49,9645,68,90.8,2.5,12.2,250000,1241,2050,9.4,16.7,31.4,42.5,23.9,1441.6,17.2,61092,0.6,7.1,3.9,52,70.8,17.6,78.5,83,22.5,7.12,7.43,7.18,3.37,27.4,7.6,193.4,Lab,0,100,0,40.5
E09000026,E09000026,Redbridge,Outer London,301022,109114,5641.9,53.3,35.7,23.1,87.9,12.1,-1622,3403,3003,40.1,India,7.6,Pakistan,5.3,Sri Lanka,2.6,62.7,24.6,10237,54,Romania,India,Italy,68.3,79.1,57.6,7.9,5.4,3.3,6.6,17.1,10.2,44.7,35665,39266,30118,45380,25,90700,22.9,0.48,13160,71,69.7,1.9,11.3,301500,1391,260,29.5,34.9,11.3,24.1,40.6,963.5,28.7,106339,1.1,9.5,3,29,61.1,11.7,80.9,84.6,18.5,7.32,7.57,7.3,3.2,22.9,7.9,141.9,Lab,39.7,55.6,4.8,39.7
E09000027,E09000027,Richmond upon Thames,Outer London,196602,84615,5740.7,34.3,38.7,20.5,85.3,14.7,208,426,1610,24.2,Ireland,1.8,South Africa,1.4,United States,1.4,15.7,10.4,2536,20,Poland,Italy,Spain,79.6,82.1,77.2,3.8,2.9,4.3,4.7,10.8,3.2,69.5,39563,42896,34653,76610,49,95900,11.2,0.77,13650,76,56.3,1.5,9.7,535000,1582,240,30.9,38.4,8.7,21.9,50.8,880.9,41.2,84918,1.1,31.7,3.1,22,20.9,6.1,82.4,86,12.6,7.54,7.75,7.33,3.2,11.2,3.7,137.4,Cons,72.2,0,27.8,46.1
E09000028,E09000028,Southwark,Inner London,310642,132080,2886.2,108.2,34.2,18.1,92.1,7.9,-3538,4210,3384,35.9,Nigeria,4.7,Jamaica,2,Ireland,1.7,45.7,19.6,12955,58,Spain,Italy,Romania,74.2,79.8,68.6,7.7,6.2,2,10.2,16.8,7.6,56.8,34537,36067,32600,48000,26,285900,18.8,1.29,15860,71,100.6,3,13.6,420000,1207,1140,10.1,26.3,37.2,26.4,24.9,1454.5,34.6,60438,0.5,15.6,4.9,82,41.9,22.1,78.9,83.9,27.4,7.47,7.67,7.31,3.42,28,5.5,207.5,Lab,3.2,76.2,20.6,36.2
E09000029,E09000029,Sutton,Outer London,201751,84612,4384.7,46.1,38.7,20.7,84.8,15.2,594,465,1164,26.4,Sri Lanka,1.8,India,1.7,Ireland,1.2,25,10,1945,15,Romania,Bulgaria,Poland,78.2,86.2,70.5,5.5,3.4,3.2,6.2,14.4,4.3,42.5,31387,36168,26404,49170,24,78600,18.9,0.61,8155,77,55.9,2,11.3,285000,1459,430,25.7,41.8,11.6,20.5,32,774.4,37.6,91266,1.2,12.5,2.9,50,22.9,11.5,80.9,83.4,17.3,7.46,7.7,7.26,3.22,17.4,5.9,163.2,Lib Dem,16.7,0,83.3,42.6
E09000030,E09000030,Tower Hamlets,Inner London,297805,120576,1978.1,149.8,31.3,19.6,94.3,5.7,-875,8467,3518,37.8,Bangladesh,15.3,India,1.5,China,1.4,54,34.2,18882,90,Italy,Spain,France,70.4,80.3,59.6,9.2,7.3,3.4,9.4,15.4,10,45.7,34849,,32934,45720,21,280100,16.1,1.34,16545,69,99.9,3.5,11.8,383000,1181,920,7,19.8,41.6,31.5,15.2,1948.3,28.1,43589,0.4,19.3,5,44,73.8,25.2,78.1,82.5,18.1,7.22,7.39,7.2,3.26,26.7,6.6,238.7,Tower Hamlets First,11.1,48.9,0,47.2
E09000031,E09000031,Waltham Forest,Outer London,274139,104777,3880.8,71.1,34.9,21.8,89.8,10.2,-6052,5075,3194,36,Pakistan,4.9,Poland,3.2,Romania,1.7,49.9,26.4,17257,95,Romania,Bulgaria,Poland,73.1,76.8,69.4,5.4,8,3,8.9,15.5,11.6,42.6,29532,32492,25729,39460,19,84500,23,0.46,9875,71,78,2.2,11.7,320000,1447,670,20.6,29.2,19.9,30,31.4,850.5,35.5,76217,0.8,12.8,3.6,42,51.4,18.1,79.4,83.8,26.2,7.19,7.5,7.12,3.14,21.7,6.4,185.3,Lab,26.7,73.3,0,37.6
E09000032,E09000032,Wandsworth,Inner London,318253,136572,3426.4,93.8,34.9,17.3,90.6,9.4,-2143,-241,3727,32.8,Poland,2.2,South Africa,2.1,Ireland,1.9,29.7,17.4,10453,46,Italy,Spain,Poland,78.8,86.6,71.6,5.7,3.1,2.9,6.5,11.4,4.3,66.4,39562,42181,37053,66220,35,134100,21.4,0.59,17445,75,72.6,1.8,10.1,532500,683,1080,17.7,30.5,19.3,31.2,26.9,1162.6,20.7,89513,0.7,18.2,4.3,37,45.5,14.3,79.5,83.7,19.3,7.37,7.63,7.37,3.59,20.7,4.2,176.6,Cons,68.3,31.7,0,36.9
E09000033,E09000033,Westminster,Inner London,239862,117509,2148.7,110.4,37.6,15.3,87.9,12.1,-4000,8886,1567,51.3,United States,3.6,France,2.6,Iraq,2.1,38.8,30.8,13380,79,Italy,France,Spain,65.6,68.6,62.3,8.8,3.4,2.2,8.4,17.5,4.5,63.6,42798,45872,37918,80760,24,730700,13.4,4.33,53160,64,212.4,4,19.9,875000,674,750,17.1,11.6,27.8,43.3,38.2,3048.4,19.1,48810,0.5,18.4,6.5,44,66.8,18.2,82.3,86.3,15.4,7.25,7.45,7.13,3.43,24.5,4.4,161.5,Cons,73.3,26.7,0,32.3
